,Unnamed: 0,domain,id,id_str,party,screen_name,state
21843,21843,,705622791664447488,705622791664447488,INC,vipulsing1,To Be Added
2761,2761,1.0,950572192852512768,950572192852512768,INC,mnprt_chadha9,Punjab
7091,7091,1.0,1044582235,1044582235,INC,chandanjnu,Chhattisgarh
15829,15829,1.0,2616817675,2616817675,INC,JVSinghINC,Madhya Pradesh
23895,23895,,4527945193,4527945193,INC,nikhilw2611,To Be Added
15849,15849,1.0,3151673868,3151673868,INC,aakashjageerdar,Madhya Pradesh
16102,16102,1.0,3288576848,3288576848,INC,netikchoudhary,Madhya Pradesh
2688,2688,1.0,2428240140,2428240140,INC,PuhalRahul,Punjab
28749,28749,,1093376672647176192,1093376672647176192,INC,SevadalAGR,To Be Added
10172,10172,1.0,144503567,144503567,INC,Asehrawat,Delhi
27221,27221,,465345056,465345056,INC,poojathakare,To Be Added
30214,30214,,2699686472,2699686472,INC,swapnilsawant01,To Be Added
16189,16189,1.0,1000324958419992576,1000324958419992576,INC,KudiyaRajveer,Madhya Pradesh
26656,26656,,970570735931592704,970570735931592704,INC,Bharatgohil1174,To Be Added
16025,16025,1.0,132061508,132061508,INC,rajabaghel,Madhya Pradesh
13447,13447,1.0,376694305,376694305,INC,ADITYAGAUTAMM,Himachal Pradesh
31712,31712,,1148036965327101952,1148036965327101952,INC,Deepaky96781000,To Be Added
14699,14699,1.0,914283267741773824,914283267741773824,INC,rahiman_auf,Karnataka
15834,15834,1.0,1314702470,1314702470,INC,TJRSudhakarBabu,Andhra Pradesh
13017,13017,1.0,700657473959514113,700657473959514112,INC,ChapranaArjun,Haryana
11852,11852,1.0,907982608625147905,907982608625147904,INC,SanjoyTakam,Gujarat
16451,16451,1.0,994117075181424640,994117075181424640,INC,Prashan23252428,Madhya Pradesh
29913,29913,,221791969,221791969,INC,cdmeyyappan,To Be Added
13256,13256,1.0,1200559908,1200559908,INC,commonraj,Assam
14533,14533,1.0,3093428894,3093428894,INC,KpurShetty,Karnataka
17716,17716,1.0,2708538074,2708538074,INC,RoshanMeshram88,Maharashtra
16399,16399,1.0,857615096255832064,857615096255832064,INC,Nihalpa34279074,Madhya Pradesh
15832,15832,1.0,477763395,477763395,INC,mazhar_jafri,Madhya Pradesh
8173,8173,1.0,943442348276555776,943442348276555776,INC,bhuwanbaadshah,Uttarakhand
25370,25370,,839748901943013376,839748901943013376,INC,KESHAV8075RISHI,To Be Added
20394,20394,,1623177541,1623177541,INC,kirandongaonkar,To Be Added
13959,13959,1.0,413769778,413769778,INC,hrishikeshnsui,Jharkhand
25795,25795,,825353537769005057,825353537769005056,INC,iyc_kollam,To Be Added
4237,4237,1.0,927828086380552192,927828086380552192,INC,GopichandPannu,Rajasthan
2867,2867,1.0,3383971998,3383971998,INC,Surende29839916,Punjab
24508,24508,,1182021658481025024,1182021658481025024,INC,HLVishwakarma,To Be Added
6279,6279,1.0,450625440,450625440,INC,PrasenjitDas_,Tripura
8780,8780,1.0,908907209072848897,908907209072848896,INC,SagarKu22,Chhattisgarh
8767,8767,1.0,1018082116192518144,1018082116192518144,INC,Devpandro1,Chhattisgarh
29336,29336,,281983798,281983798,INC,abdullodra,To Be Added
20689,20689,,545804604,545804604,INC,NageshGirheNSUI,To Be Added
16373,16373,1.0,926451176760999937,926451176760999936,INC,DilipPinda,Madhya Pradesh
23949,23949,,1138361594121838593,1138361594121838592,INC,Rpcc_Minority,To Be Added
8719,8719,1.0,919825497097363456,919825497097363456,INC,JakeshRajwade,Chhattisgarh
29166,29166,,786863934896689156,786863934896689152,INC,INTUCPrez,To Be Added
4138,4138,1.0,928279642577838080,928279642577838080,INC,Gulammustafa024,Rajasthan
13343,13343,1.0,869520978480582658,869520978480582656,INC,AshaKumariINC,Himachal Pradesh
19268,19268,,802868148269527046,802868148269527040,INC,DeveshTiwariINC,To Be Added
2760,2760,1.0,890751780069548032,890751780069548032,INC,RBhagupur,Punjab
13625,13625,1.0,1079415179685720064,1079415179685720064,INC,IncGulmarg,Jammu and Kashmir
29514,29514,,2441408221,2441408221,INC,SMThousifINC,To Be Added
13410,13410,1.0,814021145372532736,814021145372532736,INC,Ashwani39437124,Himachal Pradesh
14778,14778,1.0,1104103328,1104103328,INC,oorugolu,Karnataka
16650,16650,1.0,704980039121641473,704980039121641472,INC,MaharashtraPMC,Maharashtra
13097,13097,1.0,905677968944623616,905677968944623616,INC,ChTonka,Haryana
19084,19084,,954947591304724480,954947591304724480,INC,AB_IYC,To Be Added
18303,18303,,988076380909957120,988076380909957120,INC,AipcKochi,To Be Added
16837,16837,1.0,137967186,137967186,INC,atullondhe,Maharashtra
14145,14145,1.0,2900251885,2900251885,INC,pranabchetia28,Assam
15950,15950,1.0,4854519999,4854519999,INC,kuvarsingh29mp,To Be Added
24829,24829,,727549448872587265,727549448872587264,INC,SJ9765555512,To Be Added
24423,24423,,3057146479,3057146479,INC,Raman_2211,To Be Added
1492,1492,1.0,776849300949131264,776849300949131264,INC,BuxarCongress,Bihar
18594,18594,,1072088367955795968,1072088367955795968,INC,thegreatneethi1,To Be Added
5972,5972,1.0,3191712500,3191712500,INC,SPKranthiKumar,Telangana
15871,15871,1.0,1681433089,1681433089,INC,abhinavmaddy,Madhya Pradesh
17241,17241,1.0,821724792386633729,821724792386633728,INC,SatsangM,Maharashtra
8627,8627,1.0,826140441473056768,826140441473056768,INC,AnsaruAsif,West Bengal
28092,28092,,709291704814149632,709291704814149632,INC,WithCongHaryana,To Be Added
5549,5549,1.0,940643739982118912,940643739982118912,INC,TSenjie,Tamil Nadu
925,925,1.0,990874814,990874814,INC,syed_tanwir,Bihar
2218,2218,1.0,918156405563039744,918156405563039744,INC,nagariya_anil,Odisha
13003,13003,1.0,908013611771076608,908013611771076608,INC,INCPanchkula,Haryana
18632,18632,,4901575496,4901575496,INC,DwarikaMohapat1,To Be Added
3850,3850,1.0,1371725712,1371725712,INC,Ramniwaskukna,Rajasthan
24822,24822,,952433709373968385,952433709373968384,INC,TeamDattuG,To Be Added
21261,21261,,988703093415034880,988703093415034880,INC,INCBhopal,To Be Added
5878,5878,1.0,3273273025,3273273025,INC,INCRahamathulla,Telangana
27637,27637,,704578511990824960,704578511990824960,INC,sumit_new,To Be Added
21391,21391,,1099914333604130817,1099914333604130816,INC,KolhapurNcp,To Be Added
31041,31041,,2801017914,2801017914,INC,DrAnjaliTai,To Be Added
10185,10185,1.0,744226548488744960,744226548488744960,INC,MoondRajendra,Delhi
24086,24086,,971684520733782017,971684520733782016,INC,khemusahoo,To Be Added
19511,19511,,2954843570,2954843570,INC,harshyadavdeori,To Be Added
20898,20898,,4695331962,4695331962,INC,anshu_joshi12,To Be Added
20555,20555,,1093042792828329984,1093042792828329984,INC,WMagundi,To Be Added
28523,28523,,1095992513150705665,1095992513150705664,INC,deeprajdwivedi4,To Be Added
7594,7594,1.0,4682175883,4682175883,INC,rehan7602,Uttar Pradesh
20330,20330,,3195358350,3195358350,INC,PawanBaghelINC,To Be Added
25647,25647,,818061819344457728,818061819344457728,INC,Tarmalespeaks,To Be Added
1203,1203,1.0,763033486659768320,763033486659768320,INC,SarjanSinghINC,Bihar
8140,8140,1.0,764792558337875969,764792558337875968,INC,dhamiiharish,Uttarakhand
28570,28570,,956212692875804677,956212692875804672,INC,sofiqul91204444,To Be Added
4011,4011,1.0,3301613130,3301613130,INC,Rajendra7gurjar,Rajasthan
13414,13414,1.0,1069469403870187520,1069469403870187520,INC,IKinnaur,To Be Added
22434,22434,,2805574764,2805574764,INC,GauravINCMP,To Be Added
31992,31992,,4622550979,4622550979,INC,DevarajINC,To Be Added
2253,2253,1.0,820858664798089216,820858664798089216,INC,Sushana571,Odisha
12567,12567,1.0,2162173843,2162173843,INC,YouthAnand,Gujarat
30635,30635,,3189529238,3189529238,INC,kpramlavat,To Be Added
17238,17238,1.0,3030290563,3030290563,INC,39cbfa1bf23b4a5,Maharashtra
18589,18589,,3182642263,3182642263,INC,SandeepsRissam,To Be Added
2040,2040,1.0,2913666294,2913666294,INC,ritugarabadu,Odisha
4260,4260,1.0,2280020137,2280020137,INC,deewan_yadav,Rajasthan
26342,26342,,611503514,611503514,INC,abdul_warsi,To Be Added
21583,21583,,837961213162176512,837961213162176512,INC,Rajeshkjain2013,To Be Added
26116,26116,,1001109655790080000,1001109655790080000,INC,INTUCnational,To Be Added
20005,20005,,21551562,21551562,INC,NizamFoujdar,To Be Added
14759,14759,1.0,951568513856036864,951568513856036864,INC,bengaluru_rural,Karnataka
18255,18255,,928876662120259584,928876662120259584,INC,sidam_chandra,To Be Added
4222,4222,1.0,945291746035908608,945291746035908608,INC,hM0USxawt5rwjDA,Rajasthan
2622,2622,1.0,3037943491,3037943491,INC,AkshayPunj_INC,Punjab
17798,17798,1.0,774143844174573568,774143844174573568,INC,AdvSandesh1,Maharashtra
3771,3771,1.0,318873814,318873814,INC,vishal_INC,To Be Added
20016,20016,,922573917843103744,922573917843103744,INC,abhaSin93574099,To Be Added
18808,18808,,1258040737289003009,1258040737289003008,INC,MJOSEPHJERALD4,To Be Added
26669,26669,,1036795602091134977,1036795602091134976,INC,KCMahto1,To Be Added
